,Unnamed: 0,artist_name,track_uri,artist_uri,name,album_uri,duration_ms,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,id,song_popularity,explicit,id_artists,release_date,key,mode,time_signature,artist_popularity
0,0,Chromatics,spotify:track:7sReVMQAn2dkBi0l9Es5Tv,spotify:artist:4tOVIRjlWWfR1RrAxyRqTE,I'm On Fire,spotify:album:4VqdDLmLf2RJtWwVUEwX9C,245133,In The City,0.677,0.621,0.421,0.351,0.0615,-11.834,0.0286,129.958,0.318,04sx4DemzEp9Dzopqge2QX,55,0,['4tOVIRjlWWfR1RrAxyRqTE'],2006-09-28,10,1,4,67
1,1,Gabrielle Aplin,spotify:track:1m5eFhE34yyYv2lkjtcKPG,spotify:artist:3w6zswp5THsSKYLICUbDTZ,The Power of Love,spotify:album:0CvseifzOENX6EzsO0OaTA,245160,English Rain,0.901,0.277,0.291,2.47e-05,0.103,-9.851,0.0306,75.119,0.175,0sE9ZTxMxYneIUAEHN4Tg7,52,0,['3w6zswp5THsSKYLICUbDTZ'],2013-05-13,11,0,3,53
2,2,Birdy,spotify:track:4RL77hMWUq35NYnPLXBpih,spotify:artist:2WX2uTcsvV5OnS0inACecP,Skinny Love,spotify:album:1WGjSVIw0TVfbp5KrOFiP0,201080,Birdy,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,166.467,0.169,2hRMHB4ZEYrCBM0d0vVEdq,60,0,['2WX2uTcsvV5OnS0inACecP'],2011-11-07,4,1,4,53
3,3,HAIM,spotify:track:1vSEwZtoQA0sJxkOgF7MtG,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,Falling,spotify:album:7CzrzGbCwqT8Y43tvIUPBX,257813,Days Are Gone,0.0792,0.743,0.899,7.75e-05,0.0838,-5.675,0.0688,111.98,0.265,1vSEwZtoQA0sJxkOgF7MtG,52,0,['4Ui2kfOqGujY81UcPrb5KE'],2013-01-01,2,1,4,66
4,4,Sara Bareilles,spotify:track:4oa14QBfWRDfJy2agySy0L,spotify:artist:2Sqr0DXoaYABbjBo9HaMkM,Gravity,spotify:album:2Z9WUERfMjOgQ6ze9TcGbF,232760,Little Voice,0.834,0.27,0.275,0.0,0.146,-10.357,0.0356,168.964,0.231,4oa14QBfWRDfJy2agySy0L,71,0,['2Sqr0DXoaYABbjBo9HaMkM'],2007-07-03,0,1,4,19
5,5,The Lumineers,spotify:track:15twB7zTglmu0Bg8gW4Mrm,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,Stubborn Love,spotify:album:5h7fx8ILwOZ3I5yQ4eGBl7,277333,The Lumineers,0.617,0.596,0.555,0.0395,0.275,-11.689,0.0374,115.019,0.235,2ite9c2oq2zsxP3NGCYLxq,48,0,['16oZKvXb6WkQlVAjwo2Wbg'],2012-01-01,0,1,4,40
6,6,RY X,spotify:track:7BSMSvK0WxrDeI98bswYa8,spotify:artist:2KjAo6wVc9d2WcxdxSArpV,Berlin,spotify:album:0DvauBOn2G8RIEQR54Cmiv,174172,Dawn,0.963,0.393,0.0668,0.105,0.107,-20.755,0.0404,136.938,0.0384,7BSMSvK0WxrDeI98bswYa8,60,0,['2KjAo6wVc9d2WcxdxSArpV'],2016-05-06,7,1,4,59
7,7,Daniela Andrade,spotify:track:47jgSvqlKwGyBLPnMfeEZN,spotify:artist:0WfaItAbs4vlgIA1cuqGtJ,Crazy,spotify:album:0hOdcKXM4riRXmpyo71SFs,242000,Crazy,0.237,0.707,0.336,0.000984,0.116,-9.347,0.0306,98.189,0.159,47jgSvqlKwGyBLPnMfeEZN,63,0,['0WfaItAbs4vlgIA1cuqGtJ'],2014-01-02,11,0,4,79
8,8,Hozier,spotify:track:44f2AVSNQ3xVs1EI0S0bjl,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Like Real People Do,spotify:album:36k5aXpxffjVGcNce12GLZ,198029,Hozier,0.914,0.569,0.183,0.404,0.106,-14.371,0.0298,70.06,0.13,5wes4jZekN1p0mDbC3FIa2,48,0,['2FXC3k01G6Gw61bmprjgqS'],2014-11-06,7,1,3,63
9,9,Glass Animals,spotify:track:11E1Xpu94v5e5qGJO6no64,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,Toes,spotify:album:2ipSXAsBLmvEeVKKbRAL7i,254640,ZABA,0.406,0.639,0.347,0.000268,0.215,-12.322,0.0421,72.978,0.247,754wVXWrtf1X3ZHQOFFsnR,61,0,['4yvcSjfu4PC0CYQyLy4wSq'],2014-06-03,1,0,4,25
